"BMXHT"
65.28
61.08
65.84
60.88
68.28
63.24
63.12
64.32
67.12
62.88
62.88
69.2
65.96
67.12
58
63.72
64.6
68.92
67.04
67.32
65.92
62.88
64.96
61.56
64.48
63.8
64.8
62.68
59.12
61.84
66.6
61.52
65.76
61.92
66.16
63.4
60.84
59.24
62.68
64.28
63.96
65.32
66.32
66.04
61.08
64.8
63.64
64.68
62.56
65.2
62.08
66.4
62.32
62.16
61.28
66.68
68.44
63.6
66.04
61.56
62.96
69.12
67.44
64.04
61.64
63.68
65.68
64.88
65.96
66.76
62.96
66.16
62.24
63.6
64.52
56
63.24
62.76
67.84
59.16
68
66.88
63.8
67.4
66.52
65.84
64.88
66.08
62.64
67.12
68.52
60.64
69
65.16
64
65.2
64.6
63.28
64.68
69.16
64.36
58.28
66.48
67.8
61.16
62.12
64.28
62.88
64.92
65.36
60.24
61
65.2
68.96
61.56
64.16
61.56
61.68
69.52
65.8
64.44
64.32
68.08
57.76
63.88
65.96
61.44
68.24
67.68
64.36
68.12
63.52
65.52
63.32
65.04
67.28
69.52
68.44
71.24
64.76
61.88
65.2
67.92
64.44
63.96
69.24
62.08
72.12
65.48
64.84
65.76
61.2
59.4
63.84
64.84
66.28
59.4
66.76
62.08
63.08
68.76
63.08
61.64
69.28
56.96
62.6
68.6
64.8
67.88
61.68
58.88
60.96
64.04
65.48
61.76
66.2
65.24
63.04
66.52
65.44
66.4
68.36
61.4
64.4
65.36
62.28
64.2
64.04
61.2
67.24
67.96
64.96
67.52
66.64
62.8
62.84
64.88
65.72
62.48
61.64
70.48
61.8
65.48
66.24
67.4
64.32
65.76
63.2
64.4
63.04
64
58.64
61.8
65.28
61.56
67.64
64.52
68.72
64.16
67.44
62.32
60.68
62.56
61
64.96
68.16
66.16
63.76
61.64
62.6
65.68
63.4
65.72
67.6
64.16
60.92
64.64
65.88
61.76
66.24
66.64
71.08
61.44
66.08
60.4
64.44
60.32
60.76
64.04
63.52
61.76
61.04
65.96
67.76
62.72
62.76
63.8
62.28
65.2
65
63.84
62.48
66.64
61.72
63.08
66.64
72.24
65.2
70.28
63.92
67.32
63.88
68.8
67.6
64.2
65.52
65.44
63.64
64.96
60.08
66.88
60.88
64.4
66.68
63.44
68.8
69.2
66.96
64.72
67.04
60.6
64.64
66.96
62.92
63.8
64.04
64.44
63.2
63.72
62.48
67.16
60
59.48
61.6
67.16
67.32
62.12
62.68
63.84
61.68
66.36
62.92
59.04
64.16
69.16
66.16
66.6
61.68
63.92
68.16
63.4
63.12
63.88
58.8
66.24
66
66.4
65.96
63.92
68.8
68.08
63.28
66.6
63.04
65.6
61.28
61.96
65.44
66.04
66.32
65.32
61.28
65.44
60.16
63.72
60.8
67.4
63.28
60.8
63.28
65.84
70.44
64.68
65.4
70.12
63.64
61.88
69.04
62.8
64.84
62.96
62.64
61.36
65.08
63.92
60.04
70.84
63.64
71.72
65.28
64.8
67.56
59.48
69.12
61.32
65
64.52
60.44
57.92
61.92
64.44
62.12
66.52
65.92
66.4
62.76
61.4
63.72
68.08
62.24
62.92
59.32
62.28
68.52
66.36
66.24
65.48
63.4
63.56
60.72
61.8
67.04
60.24
66.84
68.68
63.64
69.44
66.64
67.4
64.2
64.36
63.88
64.64
63.6
63.96
57.84
62.12
65.64
61.44
66.44
68.84
63.64
